_MON_TARGET,_MON_VOLT_Q,_MON_VOLT_D,_MON_CURR_Q,_MON_CURR_D,_MON_VEL,_MON_ANGLE
6.28,0.0658,0.0,65.8223,0.0,6.3693,67.3053
6.28,0.195,0.0,73.4261,0.0,6.2181,67.7333
6.28,0.0874,0.0,38.6005,0.0,6.3113,68.1605
6.28,0.0315,0.0,49.6747,0.0,6.3555,68.5851
6.28,0.1695,0.0,41.8016,0.0,6.2239,69.0069
6.28,0.3853,0.0,167.8366,0.0,6.0285,69.431
6.28,0.0802,0.0,73.2273,0.0,6.331,69.8602
6.28,0.3058,0.0,147.2444,0.0,6.1277,70.2862
6.28,0.0678,0.0,28.5241,0.0,6.3603,70.7131
6.28,0.28,0.0,96.1054,0.0,6.1383,71.1403
6.28,0.038,0.0,33.6006,0.0,6.3404,71.5698
6.28,0.1674,0.0,59.3938,0.0,6.2102,71.9966
6.28,0.2067,0.0,117.1849,0.0,6.1885,72.4238
6.28,0.1426,0.0,104.3863,0.0,6.2595,72.8488
6.28,0.1819,0.0,104.6409,0.0,6.243,73.2752
6.28,0.1122,0.0,51.0372,0.0,6.3196,73.7016
6.28,0.2467,0.0,98.7362,0.0,6.16,74.1296
6.28,0.0788,0.0,-4.1208,0.0,6.3218,74.5568
6.28,0.1377,0.0,64.3421,0.0,6.2424,74.9814
6.28,0.0008,0.0,33.0643,0.0,6.4029,75.4021
6.28,-0.0415,0.0,47.5365,0.0,6.6065,75.8304
6.28,0.1361,0.0,81.8832,0.0,6.2737,76.2569
6.28,0.2064,0.0,78.5396,0.0,6.2204,76.6829
6.28,0.0547,0.0,22.0433,0.0,6.37,77.109
6.28,0.1326,0.0,22.6364,0.0,6.2812,77.5374
6.28,0.0489,0.0,0.4465,0.0,6.3268,77.9657
6.28,0.4202,0.0,204.5264,0.0,5.9745,78.3922
6.28,-0.0348,0.0,15.8873,0.0,6.435,78.8202
6.28,0.0342,0.0,50.3769,0.0,6.3668,79.2458
6.28,0.111,0.0,49.9887,0.0,6.3331,79.6711
11.28,-0.9697,0.0,-411.888,0.0,13.2354,80.2207
11.28,-0.148,0.0,-17.064,0.0,11.7365,81.0134
11.28,0.0543,0.0,46.1004,0.0,11.3704,81.7807
11.28,0.2662,0.0,112.6139,0.0,11.1676,82.547
11.28,0.4777,0.0,217.8817,0.0,10.9986,83.312
11.28,-0.1417,0.0,-32.2006,0.0,11.5386,84.0855
11.28,0.3373,0.0,129.3819,0.0,11.0277,84.851
11.28,0.1029,0.0,51.1669,0.0,11.2957,85.618
11.28,0.2518,0.0,125.098,0.0,11.2029,86.3811
11.28,-0.0013,0.0,36.8199,0.0,11.417,87.1508
11.28,0.2699,0.0,96.8105,0.0,11.1026,87.9113
11.28,0.0841,0.0,2.8859,0.0,11.3178,88.6768
11.28,0.1959,0.0,39.0806,0.0,11.2657,89.4414
11.28,-0.0272,0.0,-32.8495,0.0,11.4477,90.2103
11.28,0.0094,0.0,61.7107,0.0,11.3419,90.98
11.28,0.1487,0.0,73.4849,0.0,11.2376,91.7447
